CustomerID,Gender,Age,Location,ProductCategory,PurchaseAmount,LastPurchaseDate,IsChurned,SupportTickets,MarketingEngagement,Recency,Cluster,LeadSource,SalesStage,DaysInStage,CustomerReview,Sentiment,Polarity
1,Other,54,Port Tonyland,Security Camera,420.87,18-06-2024,1,3,40,300,2,Email,Lead,4,Great product! Really loved the smart features.,Positive,0.638095238
2,Female,33,East Jeremy,Security Camera,419.51,19-11-2024,0,5,43,146,0,Social Media,Qualified,7,Fast delivery and easy setup.,Positive,0.316666667
3,Male,55,Rachelton,Smart Plug,406.99,22-04-2023,0,3,72,723,2,Referral,Demo,10,"Customer service was okay, but not great.",Neutral,0.05
4,Male,44,Davidburgh,Smart Thermostat,394.43,11-07-2024,1,1,80,277,0,Webinar,Negotiation,9,"Customer service was okay, but not great.",Neutral,0.05
5,Other,42,Greenstad,Smart Light,283.81,24-10-2024,0,5,61,172,0,Ad Campaign,Won,3,Product quality is bad. Not worth the money.,Negative,-0.425
6,Other,23,Leachtown,Security Camera,355.89,25-08-2024,0,3,9,232,3,Email,Lost,2,The app is buggy and crashes often.,Neutral,0
7,Female,42,Donnaland,Smart Speaker,198.21,21-10-2023,1,2,81,541,1,Referral,Qualified,6,Great product! Really loved the smart features.,Positive,0.638095238
8,Male,18,Lake Kayla,Smart Light,281.36,24-06-2023,1,3,41,660,2,Webinar,Lead,5,Works perfectly and integrates well with my other devices.,Positive,0.4375
9,Male,32,Port Richardport,Smart Plug,395.1,10-05-2024,0,3,7,339,3,Ad Campaign,Demo,13,Great product! Really loved the smart features.,Positive,0.638095238
10,Other,27,Weavermouth,Smart Thermostat,237.95,03-09-2024,0,2,19,223,3,Social Media,Negotiation,15,Terrible experience. It stopped working in a week.,Negative,-1
11,Other,23,Randallburgh,Wearable,392.98,07-06-2024,0,2,70,311,0,Email,Won,4,Terrible experience. It stopped working in a week.,Negative,-1
12,Other,27,East Harold,Smart Speaker,87.24,20-12-2023,1,4,23,481,1,Social Media,Lost,1,Fast delivery and easy setup.,Positive,0.316666667
13,Female,68,Santosland,Smart Thermostat,218.8,19-07-2024,0,2,3,269,3,Referral,Qualified,9,The app is buggy and crashes often.,Neutral,0
14,Male,44,North Christian,Security Camera,244.96,22-09-2023,0,4,6,570,2,Webinar,Demo,7,I'm very happy with my purchase. Highly recommend!,Positive,0.6
15,Female,70,North Benjaminbury,Smart Speaker,414.57,28-09-2023,0,5,13,564,2,Ad Campaign,Lead,3,Great product! Really loved the smart features.,Positive,0.638095238
16,Female,26,Baileyview,Security Camera,395.85,11-12-2024,0,2,28,124,3,Email,Negotiation,12,Had to return it. Didn't meet expectations.,Neutral,0
17,Female,47,West Kayla,Smart Speaker,425.14,05-05-2024,1,3,100,344,0,Referral,Won,6,Product quality is bad. Not worth the money.,Negative,-0.425
18,Male,64,Juliemouth,Smart Light,426.08,29-04-2024,0,5,42,350,2,Social Media,Lost,2,The app is buggy and crashes often.,Neutral,0
19,Other,49,Davidsonshire,Smart Light,237.18,02-03-2024,1,2,60,408,1,Webinar,Qualified,10,Good value for money. Would buy again.,Positive,0.7
20,Other,61,Lake Brendaport,Smart Thermostat,103.04,10-12-2023,0,4,40,491,1,Ad Campaign,Demo,8,Terrible experience. It stopped working in a week.,Negative,-1
21,Female,44,Christopherberg,Security Camera,106.06,30-07-2024,0,1,78,258,0,Email,Lead,1,Great product! Really loved the smart features.,Positive,0.638095238
22,Female,38,Joshuashire,Smart Light,443.62,18-12-2023,0,1,79,483,2,Referral,Negotiation,11,Works perfectly and integrates well with my other devices.,Positive,0.4375
23,Male,70,Vaughanland,Smart Thermostat,72.32,29-06-2023,1,5,59,655,1,Social Media,Won,5,The app is buggy and crashes often.,Neutral,0
24,Female,41,North Brianfort,Smart Speaker,170.87,02-06-2024,1,4,80,316,1,Webinar,Lost,3,Works perfectly and integrates well with my other devices.,Positive,0.4375
25,Female,31,New Jasonstad,Smart Speaker,70.09,07-10-2024,0,4,71,189,1,Ad Campaign,Qualified,6,Good value for money. Would buy again.,Positive,0.7
26,Male,51,East Glenntown,Smart Thermostat,151.92,19-02-2024,0,1,56,420,1,Email,Demo,9,Works perfectly and integrates well with my other devices.,Positive,0.4375
27,Female,54,Jennastad,Smart Light,398.05,27-03-2025,0,1,51,18,0,Referral,Lead,2,Had to return it. Didn't meet expectations.,Neutral,0
28,Female,68,Lake Paulaview,Security Camera,468.95,18-02-2025,1,3,2,55,3,Social Media,Negotiation,14,"Customer service was okay, but not great.",Neutral,0.05
29,Male,42,Davidview,Wearable,376.66,25-07-2024,0,3,83,263,0,Webinar,Won,4,Great product! Really loved the smart features.,Positive,0.638095238
30,Other,29,Pattonport,Smart Light,97.71,25-02-2025,1,5,8,48,3,Ad Campaign,Lost,1,The app is buggy and crashes often.,Neutral,0
31,Other,46,North Jonathan,Smart Plug,415.23,11-04-2024,1,4,55,368,2,Email,Qualified,8,The app is buggy and crashes often.,Neutral,0
32,Male,64,New James,Security Camera,95.93,28-02-2024,1,0,75,411,1,Referral,Demo,10,Good value for money. Would buy again.,Positive,0.7
33,Female,47,Suzannestad,Smart Plug,374.63,18-10-2023,1,0,8,544,2,Social Media,Lead,4,Great product! Really loved the smart features.,Positive,0.638095238
34,Male,30,Boyerfurt,Security Camera,44.79,08-05-2024,0,5,28,341,1,Webinar,Negotiation,13,Terrible experience. It stopped working in a week.,Negative,-1
35,Male,19,Vincentside,Smart Speaker,130.8,27-01-2025,1,2,5,77,3,Ad Campaign,Won,3,Fast delivery and easy setup.,Positive,0.316666667
36,Female,65,Micheleside,Smart Light,173.03,23-08-2023,0,1,0,600,3,Email,Lost,2,Had to return it. Didn't meet expectations.,Neutral,0
37,Female,30,Huntchester,Smart Light,37.3,16-01-2025,1,4,34,88,3,Referral,Qualified,7,Fast delivery and easy setup.,Positive,0.316666667
38,Other,45,Jennifermouth,Smart Light,266.44,24-01-2025,1,1,91,80,0,Webinar,Lead,5,Product quality is bad. Not worth the money.,Negative,-0.425
39,Female,62,Randallville,Smart Thermostat,31.39,02-09-2024,1,3,95,224,1,Ad Campaign,Demo,11,Product quality is bad. Not worth the money.,Negative,-0.425
40,Other,63,Fullerton,Smart Speaker,137.97,28-10-2023,0,0,89,534,1,Social Media,Negotiation,15,Good value for money. Would buy again.,Positive,0.7
41,Female,40,Lake Gregoryfurt,Smart Thermostat,213.08,14-11-2024,0,2,50,151,3,Email,Won,4,Great product! Really loved the smart features.,Positive,0.638095238
42,Male,50,East Terryland,Smart Light,348.27,22-12-2024,1,2,17,113,3,Social Media,Lost,2,The app is buggy and crashes often.,Neutral,0
43,Female,70,New Paul,Security Camera,99.63,01-04-2024,1,2,98,378,1,Referral,Qualified,6,Product quality is bad. Not worth the money.,Negative,-0.425
44,Other,51,West Holly,Smart Speaker,400.49,19-08-2023,1,2,72,604,2,Webinar,Demo,12,I'm very happy with my purchase. Highly recommend!,Positive,0.6
45,Female,60,East Juan,Smart Thermostat,224.65,14-12-2023,1,4,24,487,1,Ad Campaign,Lead,3,Terrible experience. It stopped working in a week.,Negative,-1
46,Other,34,East Johnbury,Smart Light,54.7,14-10-2023,0,5,14,548,1,Email,Negotiation,9,Great product! Really loved the smart features.,Positive,0.638095238
47,Other,36,Deannabury,Smart Plug,192.01,22-04-2024,0,2,56,357,1,Referral,Won,5,I'm very happy with my purchase. Highly recommend!,Positive,0.6
48,Female,61,Jenniferview,Smart Speaker,359.54,20-08-2024,0,4,35,237,3,Social Media,Lost,1,Great product! Really loved the smart features.,Positive,0.638095238
49,Female,23,East Derrickburgh,Smart Plug,266.53,26-02-2025,0,2,71,47,0,Webinar,Qualified,10,Good value for money. Would buy again.,Positive,0.7
50,Other,48,East Patrick,Wearable,66.5,25-01-2025,1,0,88,79,0,Ad Campaign,Demo,7,Product quality is bad. Not worth the money.,Negative,-0.425
51,Other,26,West Courtney,Smart Plug,426.11,31-08-2024,0,5,46,226,0,Email,Lead,2,Fast delivery and easy setup.,Positive,0.316666667
52,Other,19,Port Karenville,Wearable,128.05,13-02-2024,0,5,14,426,1,Referral,Negotiation,13,Works perfectly and integrates well with my other devices.,Positive,0.4375
53,Male,34,Jesseview,Security Camera,475.92,22-06-2024,0,3,55,296,2,Social Media,Won,6,Great product! Really loved the smart features.,Positive,0.638095238
54,Male,44,Lake Christopher,Wearable,317.33,07-01-2024,1,0,9,463,3,Webinar,Lost,1,Had to return it. Didn't meet expectations.,Neutral,0
55,Male,21,Pamelahaven,Smart Speaker,162.17,16-09-2023,1,5,68,576,1,Ad Campaign,Qualified,8,Fast delivery and easy setup.,Positive,0.316666667
56,Female,58,West Charlotteland,Smart Plug,354.51,01-02-2024,1,0,32,438,2,Email,Demo,9,Fast delivery and easy setup.,Positive,0.316666667
57,Other,27,Vazquezbury,Smart Thermostat,174.17,01-11-2024,0,4,74,164,0,Referral,Lead,4,I'm very happy with my purchase. Highly recommend!,Positive,0.6
58,Female,39,Clarkmouth,Smart Light,448.82,06-11-2023,1,5,96,525,2,Social Media,Negotiation,14,Terrible experience. It stopped working in a week.,Negative,-1
59,Male,40,Youngview,Wearable,289.22,24-01-2025,0,0,62,80,0,Webinar,Won,5,Product quality is bad. Not worth the money.,Negative,-0.425
60,Other,55,Harrisshire,Smart Speaker,277.03,31-08-2023,0,4,87,592,1,Ad Campaign,Lost,3,Fast delivery and easy setup.,Positive,0.316666667
61,Other,43,West Harryton,Smart Plug,467.98,22-10-2023,1,5,22,540,2,Email,Qualified,7,Works perfectly and integrates well with my other devices.,Positive,0.4375
62,Male,67,East Catherinemouth,Smart Light,460.18,11-10-2024,1,4,5,185,3,Referral,Demo,11,The app is buggy and crashes often.,Neutral,0
63,Other,58,Aprilmouth,Security Camera,289.29,03-04-2025,1,5,86,11,0,Social Media,Lead,3,Works perfectly and integrates well with my other devices.,Positive,0.4375
64,Female,37,Graystad,Smart Speaker,116.52,10-08-2024,1,0,16,247,3,Webinar,Negotiation,12,Fast delivery and easy setup.,Positive,0.316666667
65,Other,20,South Derek,Security Camera,455.75,04-02-2025,0,1,18,69,3,Ad Campaign,Won,4,Had to return it. Didn't meet expectations.,Neutral,0
66,Female,36,South Jorgefort,Smart Light,292.32,06-10-2023,0,1,6,556,2,Email,Lost,2,I'm very happy with my purchase. Highly recommend!,Positive,0.6
67,Male,26,East Bryanfort,Smart Speaker,487.56,21-04-2023,1,5,99,724,2,Referral,Qualified,9,The app is buggy and crashes often.,Neutral,0
68,Male,53,Lake Thomas,Smart Light,460.67,09-06-2024,0,4,29,309,2,Webinar,Lead,1,Fast delivery and easy setup.,Positive,0.316666667
69,Male,23,South Amandaton,Smart Speaker,57.52,25-06-2023,0,5,14,659,1,Ad Campaign,Demo,10,Good value for money. Would buy again.,Positive,0.7
70,Female,18,Ginamouth,Smart Light,469.78,28-07-2023,1,5,64,626,2,Social Media,Negotiation,15,Fast delivery and easy setup.,Positive,0.316666667
71,Female,20,Jeremyside,Wearable,455.32,08-12-2024,1,4,65,127,0,Email,Won,5,Great product! Really loved the smart features.,Positive,0.638095238
72,Female,29,Port Michael,Smart Plug,49.76,20-02-2025,0,5,85,53,0,Social Media,Lost,1,I'm very happy with my purchase. Highly recommend!,Positive,0.6
73,Female,47,Nicoleland,Smart Light,423.85,10-07-2023,0,2,86,644,2,Referral,Qualified,8,Great product! Really loved the smart features.,Positive,0.638095238
74,Female,67,West Jennifer,Wearable,499.19,15-02-2024,0,2,39,424,2,Webinar,Demo,7,The app is buggy and crashes often.,Neutral,0
75,Male,58,Nicolestad,Smart Light,230.95,06-08-2024,0,3,42,251,3,Ad Campaign,Lead,2,Good value for money. Would buy again.,Positive,0.7
76,Other,60,South Dennis,Smart Thermostat,389.12,30-08-2024,0,4,59,227,0,Email,Negotiation,14,The app is buggy and crashes often.,Neutral,0
77,Other,53,North Christopher,Smart Thermostat,195.82,10-01-2025,1,0,46,94,3,Referral,Won,3,Good value for money. Would buy again.,Positive,0.7
78,Male,23,Beasleymouth,Smart Plug,66.92,06-02-2024,0,1,81,433,1,Social Media,Lost,2,Works perfectly and integrates well with my other devices.,Positive,0.4375
79,Other,66,East Kimtown,Wearable,108.17,16-07-2023,0,1,46,638,1,Webinar,Qualified,6,The app is buggy and crashes often.,Neutral,0
80,Female,45,Port Penny,Smart Thermostat,421.4,20-05-2023,0,5,63,695,2,Ad Campaign,Demo,9,The app is buggy and crashes often.,Neutral,0
81,Male,38,Lake Jeffreybury,Smart Light,459.32,09-04-2025,1,4,50,5,0,Email,Lead,4,Works perfectly and integrates well with my other devices.,Positive,0.4375
82,Female,69,New Jennifershire,Smart Speaker,470.53,21-07-2023,0,2,2,633,2,Referral,Negotiation,12,The app is buggy and crashes often.,Neutral,0
83,Female,62,North Raymondchester,Smart Plug,127.35,16-12-2024,1,3,82,119,0,Social Media,Won,6,The app is buggy and crashes often.,Neutral,0
84,Male,43,Davidmouth,Wearable,490.12,02-05-2024,1,5,45,347,2,Webinar,Lost,1,Works perfectly and integrates well with my other devices.,Positive,0.4375
85,Male,26,Woodstown,Smart Light,252.57,08-12-2023,0,5,15,493,1,Ad Campaign,Qualified,7,Works perfectly and integrates well with my other devices.,Positive,0.4375
86,Other,22,West Kyleport,Wearable,267.26,02-11-2023,1,2,48,529,2,Email,Demo,11,I'm very happy with my purchase. Highly recommend!,Positive,0.6
87,Female,51,East Dannymouth,Smart Light,177.58,17-01-2024,0,1,26,453,3,Referral,Lead,3,Product quality is bad. Not worth the money.,Negative,-0.425
88,Female,40,Port Brendamouth,Security Camera,100.18,13-11-2024,1,5,57,152,1,Social Media,Negotiation,10,Had to return it. Didn't meet expectations.,Neutral,0
89,Other,64,Davidfurt,Smart Speaker,264.2,04-03-2025,1,4,59,41,0,Webinar,Won,5,Good value for money. Would buy again.,Positive,0.7
90,Male,65,Chrismouth,Smart Thermostat,170.27,27-01-2025,1,0,25,77,3,Ad Campaign,Lost,2,Product quality is bad. Not worth the money.,Negative,-0.425
91,Female,69,West Michelleport,Smart Speaker,449.14,07-01-2024,1,4,48,463,2,Email,Qualified,9,Fast delivery and easy setup.,Positive,0.316666667
92,Other,24,Stephenberg,Wearable,210.11,31-12-2024,0,4,74,104,0,Referral,Demo,13,Terrible experience. It stopped working in a week.,Negative,-1
93,Female,38,East Laura,Security Camera,51.11,29-04-2024,1,1,20,350,3,Social Media,Lead,2,Product quality is bad. Not worth the money.,Negative,-0.425
94,Other,46,Williamsonport,Wearable,54.44,30-08-2023,1,5,92,593,1,Webinar,Negotiation,12,Product quality is bad. Not worth the money.,Negative,-0.425
95,Other,58,Brianville,Wearable,177.85,07-07-2024,1,2,30,281,3,Ad Campaign,Won,4,Great product! Really loved the smart features.,Positive,0.638095238
96,Other,69,East Misty,Wearable,162.91,23-08-2024,1,5,36,234,1,Email,Lead,4,The app is buggy and crashes often.,Neutral,0
97,Female,64,Port Rebeccamouth,Smart Thermostat,383.26,20-07-2024,0,4,48,268,0,Social Media,Qualified,7,Product quality is bad. Not worth the money.,Negative,-0.425
98,Female,51,Lambstad,Smart Plug,57.57,26-11-2023,0,1,38,505,1,Referral,Demo,10,Had to return it. Didn't meet expectations.,Neutral,0
99,Male,70,Torresberg,Wearable,295.18,25-10-2024,1,3,99,171,0,Webinar,Negotiation,9,The app is buggy and crashes often.,Neutral,0
100,Male,70,Caitlynport,Smart Light,221.31,16-07-2024,0,0,35,272,3,Ad Campaign,Won,3,The app is buggy and crashes often.,Neutral,0
101,Male,54,Danielside,Security Camera,326.63,03-08-2023,0,5,40,620,2,Email,Lost,2,I'm very happy with my purchase. Highly recommend!,Positive,0.6
102,Male,25,Nathanborough,Smart Light,321.06,01-06-2024,1,2,21,317,3,Referral,Qualified,6,Product quality is bad. Not worth the money.,Negative,-0.425
103,Other,31,Sallyview,Smart Plug,360.92,03-02-2025,1,2,66,70,0,Webinar,Lead,5,"Customer service was okay, but not great.",Neutral,0.05
104,Male,50,Juliemouth,Smart Thermostat,62.44,08-10-2024,1,1,61,188,3,Ad Campaign,Demo,13,Product quality is bad. Not worth the money.,Negative,-0.425
105,Other,25,Erichaven,Smart Thermostat,329.71,16-03-2025,1,5,6,29,3,Social Media,Negotiation,15,The app is buggy and crashes often.,Neutral,0
106,Other,65,North Seanberg,Wearable,81.21,28-09-2024,1,5,9,198,3,Email,Won,4,"Customer service was okay, but not great.",Neutral,0.05
107,Other,23,Williamsmouth,Security Camera,235.47,05-09-2024,0,0,66,221,0,Social Media,Lost,1,Had to return it. Didn't meet expectations.,Neutral,0
108,Other,58,North Tina,Smart Speaker,255.39,01-01-2025,0,5,60,103,0,Referral,Qualified,9,The app is buggy and crashes often.,Neutral,0
109,Male,70,Williamsfurt,Wearable,43.67,16-06-2024,0,0,40,302,3,Webinar,Demo,7,Works perfectly and integrates well with my other devices.,Positive,0.4375
110,Other,64,Spencerside,Smart Light,239.67,17-06-2024,0,5,85,301,0,Ad Campaign,Lead,3,Good value for money. Would buy again.,Positive,0.7
111,Female,43,North Lance,Security Camera,255.89,10-07-2023,0,3,57,644,1,Email,Negotiation,12,Fast delivery and easy setup.,Positive,0.316666667
112,Male,20,Patelview,Smart Plug,220.55,21-10-2024,0,2,95,175,0,Referral,Won,6,The app is buggy and crashes often.,Neutral,0
113,Other,52,Summersstad,Wearable,118.02,26-09-2023,1,2,57,566,1,Social Media,Lost,2,Terrible experience. It stopped working in a week.,Negative,-1
114,Other,23,South Christineview,Smart Plug,277.2,13-01-2024,1,5,69,457,1,Webinar,Qualified,10,Terrible experience. It stopped working in a week.,Negative,-1
115,Male,49,Hesterborough,Smart Plug,127.7,23-02-2025,1,0,38,50,3,Ad Campaign,Demo,8,Good value for money. Would buy again.,Positive,0.7
116,Other,26,Brooksview,Smart Speaker,471.09,21-05-2024,1,2,7,328,2,Email,Lead,1,"Customer service was okay, but not great.",Neutral,0.05
117,Other,55,Masonmouth,Smart Speaker,454.8,06-05-2024,1,5,17,343,2,Referral,Negotiation,11,Works perfectly and integrates well with my other devices.,Positive,0.4375
118,Female,56,Cruztown,Smart Plug,35.82,12-06-2024,1,0,10,306,3,Social Media,Won,5,Works perfectly and integrates well with my other devices.,Positive,0.4375
119,Other,49,Tapiaside,Security Camera,98.56,23-05-2023,0,0,98,692,1,Webinar,Lost,3,Great product! Really loved the smart features.,Positive,0.638095238
120,Male,24,Brennanburgh,Smart Speaker,108.89,21-09-2024,1,2,15,205,3,Ad Campaign,Qualified,6,"Customer service was okay, but not great.",Neutral,0.05
121,Other,35,Danielmouth,Smart Thermostat,261.6,27-01-2024,1,3,51,443,1,Email,Demo,9,"Customer service was okay, but not great.",Neutral,0.05
122,Female,20,Lake Morganchester,Smart Thermostat,103.45,03-01-2024,0,0,88,467,1,Referral,Lead,2,Works perfectly and integrates well with my other devices.,Positive,0.4375
123,Male,36,Woodsmouth,Smart Speaker,496.67,18-02-2025,0,3,54,55,0,Social Media,Negotiation,14,"Customer service was okay, but not great.",Neutral,0.05
124,Other,42,Gregoryhaven,Wearable,383.42,09-09-2023,1,0,58,583,2,Webinar,Won,4,Product quality is bad. Not worth the money.,Negative,-0.425
125,Female,39,Cookville,Smart Thermostat,316.22,11-12-2023,1,5,53,490,1,Ad Campaign,Lost,1,Terrible experience. It stopped working in a week.,Negative,-1
126,Other,57,Evansbury,Smart Plug,485.22,04-06-2023,1,3,68,680,2,Email,Qualified,8,Fast delivery and easy setup.,Positive,0.316666667
127,Female,18,East Jeanneview,Smart Plug,155.52,27-01-2025,1,4,23,77,3,Referral,Demo,10,Product quality is bad. Not worth the money.,Negative,-0.425
128,Male,45,East Richardstad,Smart Speaker,61,23-12-2023,0,3,86,478,1,Social Media,Lead,4,I'm very happy with my purchase. Highly recommend!,Positive,0.6
129,Other,45,Lake Ryan,Smart Speaker,201.03,19-10-2023,1,4,28,543,1,Webinar,Negotiation,13,"Customer service was okay, but not great.",Neutral,0.05
130,Male,65,Walltown,Smart Plug,306.08,11-10-2023,0,3,2,551,2,Ad Campaign,Won,3,Works perfectly and integrates well with my other devices.,Positive,0.4375
131,Other,41,North Steve,Smart Plug,369.75,29-11-2023,0,4,37,502,2,Email,Lost,2,Works perfectly and integrates well with my other devices.,Positive,0.4375
132,Female,66,Heathermouth,Smart Plug,144.68,08-12-2024,0,2,71,127,0,Referral,Qualified,7,Fast delivery and easy setup.,Positive,0.316666667
133,Male,69,Patrickport,Smart Light,224.6,26-03-2024,1,4,51,384,1,Webinar,Lead,5,"Customer service was okay, but not great.",Neutral,0.05
134,Male,56,Port David,Smart Light,452.2,21-01-2024,0,1,79,449,2,Ad Campaign,Demo,11,"Customer service was okay, but not great.",Neutral,0.05
135,Male,66,Ballville,Smart Light,97.9,11-07-2024,0,1,32,277,3,Social Media,Negotiation,15,"Customer service was okay, but not great.",Neutral,0.05
136,Other,30,Valdezburgh,Smart Plug,143.61,04-11-2024,0,4,13,161,3,Email,Won,4,Good value for money. Would buy again.,Positive,0.7
137,Male,38,Nancyfort,Wearable,75.1,25-10-2024,0,3,2,171,3,Social Media,Lost,2,Fast delivery and easy setup.,Positive,0.316666667
138,Other,28,North Kevinburgh,Wearable,342.71,25-09-2024,0,5,13,201,3,Referral,Qualified,6,"Customer service was okay, but not great.",Neutral,0.05
139,Other,22,South Joseph,Smart Plug,314.25,27-12-2023,1,1,99,474,0,Webinar,Demo,12,I'm very happy with my purchase. Highly recommend!,Positive,0.6
140,Other,21,East Lawrenceberg,Security Camera,426.17,02-03-2024,0,3,15,408,2,Ad Campaign,Lead,3,Had to return it. Didn't meet expectations.,Neutral,0
141,Female,65,East Aaronland,Smart Thermostat,125.28,01-08-2023,0,5,32,622,1,Email,Negotiation,9,Had to return it. Didn't meet expectations.,Neutral,0
142,Female,66,North Jason,Smart Speaker,476.88,10-09-2024,1,0,77,216,0,Referral,Won,5,Had to return it. Didn't meet expectations.,Neutral,0
143,Other,20,East Jasmine,Smart Thermostat,465.72,11-09-2024,1,5,79,215,0,Social Media,Lost,1,Good value for money. Would buy again.,Positive,0.7
144,Female,54,Davidside,Wearable,452.84,20-12-2024,1,0,9,115,3,Webinar,Qualified,10,"Customer service was okay, but not great.",Neutral,0.05
145,Male,49,North Samuelview,Smart Thermostat,323.28,08-04-2024,1,4,10,371,3,Ad Campaign,Demo,7,Terrible experience. It stopped working in a week.,Negative,-1
146,Other,20,Andrewville,Security Camera,123.49,06-05-2023,1,5,95,709,1,Email,Lead,2,Great product! Really loved the smart features.,Positive,0.638095238
147,Female,33,East Andrew,Security Camera,209.58,23-07-2023,0,1,53,631,1,Referral,Negotiation,13,Good value for money. Would buy again.,Positive,0.7
148,Other,46,Jenniferview,Smart Thermostat,424.16,18-02-2025,1,5,53,55,0,Social Media,Won,6,Had to return it. Didn't meet expectations.,Neutral,0
149,Male,32,Cassieton,Smart Thermostat,424.17,24-10-2023,1,1,86,538,2,Webinar,Lost,1,Works perfectly and integrates well with my other devices.,Positive,0.4375
150,Female,36,Turnerstad,Smart Thermostat,249.36,13-10-2023,1,5,93,549,1,Ad Campaign,Qualified,8,Good value for money. Would buy again.,Positive,0.7
151,Other,43,Smithview,Smart Plug,233.08,16-09-2024,0,4,71,210,0,Email,Demo,9,Works perfectly and integrates well with my other devices.,Positive,0.4375
152,Male,23,South Carlosfort,Smart Plug,316.12,06-12-2023,0,0,4,495,3,Referral,Lead,4,Had to return it. Didn't meet expectations.,Neutral,0
153,Female,49,Cooperfurt,Security Camera,387.45,31-12-2024,0,1,28,104,3,Social Media,Negotiation,14,I'm very happy with my purchase. Highly recommend!,Positive,0.6
154,Female,30,West Jamesmouth,Wearable,455.23,25-05-2023,1,0,38,690,2,Webinar,Won,5,Works perfectly and integrates well with my other devices.,Positive,0.4375
155,Female,30,East Jacqueline,Wearable,258.38,15-03-2024,1,0,0,395,3,Ad Campaign,Lost,3,"Customer service was okay, but not great.",Neutral,0.05
156,Female,30,New Matthew,Smart Plug,152.13,16-09-2023,1,0,88,576,1,Email,Qualified,7,Product quality is bad. Not worth the money.,Negative,-0.425
157,Male,36,Michaeltown,Smart Light,128.91,03-10-2024,0,4,8,193,3,Referral,Demo,11,Product quality is bad. Not worth the money.,Negative,-0.425
158,Male,51,Lindsayberg,Security Camera,92.99,19-09-2024,1,2,91,207,0,Social Media,Lead,3,"Customer service was okay, but not great.",Neutral,0.05
159,Male,20,Nguyenmouth,Smart Speaker,263.21,06-08-2024,0,4,64,251,0,Webinar,Negotiation,12,Great product! Really loved the smart features.,Positive,0.638095238
160,Other,62,New Jason,Smart Plug,479.53,01-02-2025,0,2,49,72,0,Ad Campaign,Won,4,Had to return it. Didn't meet expectations.,Neutral,0
161,Female,69,South Denise,Smart Thermostat,116.86,14-02-2025,1,0,88,59,0,Email,Lost,2,Product quality is bad. Not worth the money.,Negative,-0.425
162,Male,27,Lake Briannaton,Smart Speaker,327.23,14-06-2024,1,3,20,304,3,Referral,Qualified,9,The app is buggy and crashes often.,Neutral,0
163,Other,70,Port Darius,Smart Plug,278.13,25-02-2025,1,4,64,48,0,Webinar,Lead,1,"Customer service was okay, but not great.",Neutral,0.05
164,Male,59,South Jamesshire,Smart Thermostat,314.53,30-11-2023,1,4,8,501,2,Ad Campaign,Demo,10,Good value for money. Would buy again.,Positive,0.7
165,Female,37,North Craigland,Wearable,39.94,25-11-2023,1,3,44,506,1,Social Media,Negotiation,15,The app is buggy and crashes often.,Neutral,0
166,Male,65,Lake Lawrence,Smart Thermostat,162.21,21-08-2023,0,0,41,602,1,Email,Won,5,Product quality is bad. Not worth the money.,Negative,-0.425
167,Other,28,New Matthew,Smart Speaker,402.06,21-08-2024,0,1,85,236,0,Social Media,Lost,1,Fast delivery and easy setup.,Positive,0.316666667
